,Unnamed: 0,id_tarifa,consumo_kWh,%consumo_valle,%consumo_llano,%consumo_punta,%consumo_8h,%consumo_16h,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_unico,consumo_valle,consumo_llano,consumo_punta,consumo_8h,consumo_16h,consumo_euros_unico,consumo_euros_valle,consumo_euros_llano,consumo_euros_punta,consumo_euros_8h,consumo_euros_16h,precio_final
15,15,0,251,27,65,8,20,80,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,251,82.83,82.83,82.83,125.5,125.5,0,0.0,0.0,0.0,10.8450825,21.690165,32.5352475
16,16,0,230,4,64,32,43,57,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,230,75.9,75.9,75.9,115.0,115.0,0,0.0,0.0,0.0,9.937725,19.87545,29.813175
17,17,0,249,55,35,10,18,82,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,249,82.17,82.17,82.17,124.5,124.5,0,0.0,0.0,0.0,10.758667500000001,21.517335000000003,32.276002500000004
18,18,0,152,44,22,34,70,30,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,152,50.160000000000004,50.160000000000004,50.160000000000004,76.0,76.0,0,0.0,0.0,0.0,6.56754,13.13508,19.70262
19,19,0,101,46,30,24,7,93,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,101,33.33,33.33,33.33,50.5,50.5,0,0.0,0.0,0.0,4.363957500000001,8.727915000000001,13.091872500000001
20,20,1,187,10,9,81,76,24,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,187,61.71,61.71,61.71,93.5,93.5,0,0.0,0.0,0.0,9.04145,22.5335,31.57495
21,21,1,257,66,13,21,100,0,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,257,84.81,84.81,84.81,128.5,128.5,0,0.0,0.0,0.0,12.425949999999998,30.9685,43.39445
22,22,1,137,0,4,96,65,35,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,137,45.21,45.21,45.21,68.5,68.5,0,0.0,0.0,0.0,6.62395,16.508499999999998,23.13245
23,23,1,229,19,7,74,40,60,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,229,75.57000000000001,75.57000000000001,75.57000000000001,114.5,114.5,0,0.0,0.0,0.0,11.072149999999999,27.5945,38.66665
24,24,1,291,0,56,44,74,26,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,291,96.03,96.03,96.03,145.5,145.5,0,0.0,0.0,0.0,14.069849999999999,35.0655,49.13535
25,25,1,287,27,36,37,87,13,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,287,94.71000000000001,94.71000000000001,94.71000000000001,143.5,143.5,0,0.0,0.0,0.0,13.876449999999998,34.5835,48.45995
26,26,1,120,48,43,9,69,31,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,120,39.6,39.6,39.6,60.0,60.0,0,0.0,0.0,0.0,5.802,14.459999999999999,20.262
27,27,1,260,55,27,18,60,40,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,260,85.8,85.8,85.8,130.0,130.0,0,0.0,0.0,0.0,12.571,31.33,43.900999999999996
28,28,1,157,78,5,17,25,75,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,157,51.81,51.81,51.81,78.5,78.5,0,0.0,0.0,0.0,7.590949999999999,18.918499999999998,26.509449999999998
29,29,1,121,60,19,21,70,30,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,121,39.93,39.93,39.93,60.5,60.5,0,0.0,0.0,0.0,5.85035,14.580499999999999,20.43085
30,30,1,188,77,1,22,82,18,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,188,62.040000000000006,62.040000000000006,62.040000000000006,94.0,94.0,0,0.0,0.0,0.0,9.0898,22.654,31.7438
31,31,1,148,19,25,56,69,31,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,148,48.84,48.84,48.84,74.0,74.0,0,0.0,0.0,0.0,7.155799999999999,17.834,24.9898
32,32,1,158,28,0,72,28,72,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,158,52.14,52.14,52.14,79.0,79.0,0,0.0,0.0,0.0,7.6392999999999995,19.038999999999998,26.678299999999997
33,33,1,269,68,32,0,65,35,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,269,88.77000000000001,88.77000000000001,88.77000000000001,134.5,134.5,0,0.0,0.0,0.0,13.00615,32.4145,45.420649999999995
34,34,1,287,11,19,70,18,82,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,287,94.71000000000001,94.71000000000001,94.71000000000001,143.5,143.5,0,0.0,0.0,0.0,13.876449999999998,34.5835,48.45995
35,35,1,114,28,56,16,67,33,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,114,37.620000000000005,37.620000000000005,37.620000000000005,57.0,57.0,0,0.0,0.0,0.0,5.5119,13.737,19.2489
36,36,1,289,55,42,3,57,43,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,289,95.37,95.37,95.37,144.5,144.5,0,0.0,0.0,0.0,13.973149999999999,34.8245,48.79765
37,37,1,289,49,22,29,69,31,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,289,95.37,95.37,95.37,144.5,144.5,0,0.0,0.0,0.0,13.973149999999999,34.8245,48.79765
38,38,1,274,43,37,20,56,44,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,274,90.42,90.42,90.42,137.0,137.0,0,0.0,0.0,0.0,13.2479,33.016999999999996,46.2649
39,39,1,289,44,51,5,36,64,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,289,95.37,95.37,95.37,144.5,144.5,0,0.0,0.0,0.0,13.973149999999999,34.8245,48.79765
40,40,2,150,7,84,9,60,40,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,150,49.5,49.5,49.5,75.0,75.0,0,0.0,0.0,0.0,8.175,17.925,26.1
41,41,2,207,0,7,93,91,9,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,207,68.31,68.31,68.31,103.5,103.5,0,0.0,0.0,0.0,11.2815,24.7365,36.018
42,42,2,154,4,85,11,29,71,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,154,50.82,50.82,50.82,77.0,77.0,0,0.0,0.0,0.0,8.393,18.403,26.796
43,43,2,163,46,33,21,70,30,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,163,53.79,53.79,53.79,81.5,81.5,0,0.0,0.0,0.0,8.8835,19.4785,28.362000000000002
44,44,2,230,81,16,3,72,28,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,230,75.9,75.9,75.9,115.0,115.0,0,0.0,0.0,0.0,12.535,27.485,40.019999999999996
45,45,2,150,25,7,68,24,76,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,150,49.5,49.5,49.5,75.0,75.0,0,0.0,0.0,0.0,8.175,17.925,26.1
46,46,2,234,67,32,1,96,4,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,234,77.22,77.22,77.22,117.0,117.0,0,0.0,0.0,0.0,12.753,27.962999999999997,40.715999999999994
47,47,2,120,0,18,82,64,36,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,120,39.6,39.6,39.6,60.0,60.0,0,0.0,0.0,0.0,6.54,14.34,20.88
48,48,2,172,13,52,35,5,95,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,172,56.760000000000005,56.760000000000005,56.760000000000005,86.0,86.0,0,0.0,0.0,0.0,9.374,20.554,29.927999999999997
49,49,2,266,32,40,28,17,83,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,266,87.78,87.78,87.78,133.0,133.0,0,0.0,0.0,0.0,14.497,31.787,46.284
50,50,2,117,12,72,16,9,91,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,117,38.61,38.61,38.61,58.5,58.5,0,0.0,0.0,0.0,6.3765,13.981499999999999,20.357999999999997
51,51,2,231,97,3,0,91,9,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,231,76.23,76.23,76.23,115.5,115.5,0,0.0,0.0,0.0,12.5895,27.604499999999998,40.193999999999996
52,52,2,188,18,69,13,10,90,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,188,62.040000000000006,62.040000000000006,62.040000000000006,94.0,94.0,0,0.0,0.0,0.0,10.246,22.465999999999998,32.711999999999996
53,53,2,159,12,22,66,96,4,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,159,52.470000000000006,52.470000000000006,52.470000000000006,79.5,79.5,0,0.0,0.0,0.0,8.6655,19.0005,27.665999999999997
54,54,2,113,0,87,13,64,36,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,113,37.29,37.29,37.29,56.5,56.5,0,0.0,0.0,0.0,6.1585,13.503499999999999,19.662
55,55,2,108,14,64,22,76,24,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,108,35.64,35.64,35.64,54.0,54.0,0,0.0,0.0,0.0,5.886,12.905999999999999,18.791999999999998
56,56,2,189,14,20,66,100,0,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,189,62.370000000000005,62.370000000000005,62.370000000000005,94.5,94.5,0,0.0,0.0,0.0,10.3005,22.5855,32.885999999999996
57,57,2,152,18,59,23,83,17,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,152,50.160000000000004,50.160000000000004,50.160000000000004,76.0,76.0,0,0.0,0.0,0.0,8.284,18.163999999999998,26.448
58,58,2,229,32,48,20,64,36,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,229,75.57000000000001,75.57000000000001,75.57000000000001,114.5,114.5,0,0.0,0.0,0.0,12.4805,27.365499999999997,39.846
59,59,2,183,45,8,47,51,49,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,183,60.39,60.39,60.39,91.5,91.5,0,0.0,0.0,0.0,9.9735,21.868499999999997,31.842
60,60,3,191,2,84,14,66,34,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,191,63.03,63.03,63.03,95.5,95.5,0,0.0,0.0,0.0,9.8365,18.049500000000002,27.886000000000003
61,61,3,210,25,71,4,81,19,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,210,69.3,69.3,69.3,105.0,105.0,0,0.0,0.0,0.0,10.815,19.845,30.659999999999997
62,62,3,287,69,27,4,77,23,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,287,94.71000000000001,94.71000000000001,94.71000000000001,143.5,143.5,0,0.0,0.0,0.0,14.7805,27.1215,41.902
63,63,3,298,24,11,65,30,70,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,298,98.34,98.34,98.34,149.0,149.0,0,0.0,0.0,0.0,15.347,28.161,43.508
64,64,3,271,47,36,17,90,10,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,271,89.43,89.43,89.43,135.5,135.5,0,0.0,0.0,0.0,13.956499999999998,25.6095,39.566
65,65,3,107,42,47,11,16,84,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,107,35.31,35.31,35.31,53.5,53.5,0,0.0,0.0,0.0,5.5104999999999995,10.1115,15.622
66,66,3,274,45,42,13,54,46,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,274,90.42,90.42,90.42,137.0,137.0,0,0.0,0.0,0.0,14.110999999999999,25.893,40.004
67,67,3,134,20,22,58,92,8,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,134,44.22,44.22,44.22,67.0,67.0,0,0.0,0.0,0.0,6.901,12.663,19.564
68,68,3,180,14,24,62,35,65,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,180,59.400000000000006,59.400000000000006,59.400000000000006,90.0,90.0,0,0.0,0.0,0.0,9.27,17.01,26.28
69,69,3,263,50,14,36,100,0,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,263,86.79,86.79,86.79,131.5,131.5,0,0.0,0.0,0.0,13.5445,24.8535,38.397999999999996
70,70,3,149,67,20,13,25,75,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,149,49.17,49.17,49.17,74.5,74.5,0,0.0,0.0,0.0,7.6735,14.0805,21.754
71,71,3,203,12,85,3,52,48,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,203,66.99000000000001,66.99000000000001,66.99000000000001,101.5,101.5,0,0.0,0.0,0.0,10.4545,19.1835,29.637999999999998
